serial,sighting_count,latest_date,latest_location,image_url
B68667364E,1,2017-02-25T00:00:00+00:00,"Trouble Coffee, Yosemite Avenue, San Francisco, CA, United States",http://s3.amazonaws.com/bonerbucks-s3-assets/images/256/large.jpg
L31957653L,1,2017-02-23T00:00:00+00:00,"Centralia, WA, United States",http://s3.amazonaws.com/bonerbucks-s3-assets/images/255/large.JPG
D88054535D,1,2017-01-04T00:00:00+00:00,"Oakland, CA, United States",
G14525639D,1,2017-01-04T00:00:00+00:00,"Oakland, CA, United States",
K46319429B,1,2017-01-04T00:00:00+00:00,"Oakland, CA, United States",
L65915808J,1,2017-01-02T00:00:00+00:00,"San Francisco, CA, United States",http://s3.amazonaws.com/bonerbucks-s3-assets/images/251/large.jpg
F69224768C,1,2016-05-31T00:00:00+00:00,"Bowerston, OH, United States",
F39072146E,2,2016-02-06T00:00:00+00:00,"Yakima, WA, United States",
L35162209L,1,2015-10-16T00:00:00+00:00,"Wesley Chapel, FL, United States",
I16236937A,1,2015-07-19T00:00:00+00:00,"Salt Lake City, UT, United States",
A64575061B,1,2015-07-01T00:00:00+00:00,"Palm Springs, CA, United States",
F26478371Q,1,2015-06-14T00:00:00+00:00,"Bakersfield, CA, United States",
K21295008I,1,2015-05-24T00:00:00+00:00,"San Leandro, CA, United States",
F24557332H,1,2015-05-17T00:00:00+00:00,"Oakland, CA, United States",
B13728715C,1,2015-05-02T00:00:00+00:00,"Oakland, CA, United States",
K92798135B,1,2015-04-18T00:00:00+00:00,"Cortland, NY, United States",
F27246143D,2,2015-03-18T00:00:00+00:00,"Scranton, PA, United States",
E62052628H,1,2015-02-21T00:00:00+00:00,"Elk Grove Village, IL, United States",
K10729858D,2,2015-02-08T00:00:00+00:00,"Cumming, GA, United States",
I77734916A,1,2015-02-07T00:00:00+00:00,"Wake Forest, NC, United States",
A31250308D,1,2014-11-23T00:00:00+00:00,"Newfield, NY, United States",
H00467766C,1,2014-10-29T00:00:00+00:00,"Salem, OR, United States",
E44225601C,1,2014-10-09T00:00:00+00:00,"North Port, FL, United States",
K20383767I,1,2014-09-28T00:00:00+00:00,"Fairfield, CA, United States",
E18119074A,2,2014-08-19T00:00:00+00:00,"Kroger, Athens, OH, United States",
F55594640N,1,2014-08-10T00:00:00+00:00,"Sunnyvale, CA, United States",
L30265561S,1,2014-08-01T00:00:00+00:00,"Pinole, CA, United States",
A22563338D,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
B26789559M,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
E23119459G,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
F38914124S,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
G75709198C,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
H70472376A,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
J11123968C,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
J48458532B,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
K11647605I,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
K16013700I,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
L88181480K,1,2014-07-31T00:00:00+00:00,"San Francisco, CA, United States",
B61756516B,1,2014-07-12T00:00:00+00:00,"Interlaken, NY, United States",
B44780693G,1,2014-07-04T00:00:00+00:00,"Spencer, NY, United States",
K42145177D,1,2014-07-04T00:00:00+00:00,"Greer, SC, United States",
K66080196C,1,2014-06-21T00:00:00+00:00,"DeWitt, NY, United States",
K67080196C,1,2014-06-21T00:00:00+00:00,"DeWitt, NY, United States",
D30869542E,1,2014-06-15T00:00:00+00:00,"Gillett, PA, United States",
